Destination_Airport,Origin_Airport,Distance_Values,Count
ABE,ORD,"655, 654",2
AUS,ORD,"977, 978",2
BOI,OAK,"512, 511",2
BQN,FLL,"982, 983",2
BUF,FLL,"1165, 1166",2
BUF,ORD,"473, 474",2
CAE,ORD,"666, 667",2
CHO,ORD,"566, 567",2
CLE,ORD,"316, 315",2
CLT,FLL,"631, 632",2
CMI,DFW,"692, 693",2
CMX,ORD,"359, 360",2
CVG,ORD,"264, 265",2
CWA,ORD,"212, 213",2
DEN,DRO,"250, 251",2
DFW,CMI,"692, 693",2
DFW,TYS,"772, 771",2
DRO,DEN,"251, 250",2
DRO,PHX,"353, 351",2
DSM,PHX,"1150, 1149",2
DTW,DSM,"534, 533",2
EAU,ORD,"269, 268",2
EVV,ORD,"273, 272",2
FLL,BUF,"1165, 1166",2
FLL,CLT,"631, 632",2
FLL,IAH,"966, 965",2
FLL,LAX,"2343, 2342",2
FLL,MDW,"1167, 1166",2
FLL,SFO,"2583, 2584",2
FLL,STL,"1056, 1057",2
GSP,ORD,"578, 577",2
IAD,ORD,"588, 589",2
IAH,FLL,"965, 966",2
JNU,YAK,"198, 199",2
LAX,FLL,"2342, 2343",2
MDW,FLL,"1166, 1167",2
MEM,DFW,"432, 431",2
MOB,ORD,"778, 779",2
OAK,BOI,"511, 512",2
OAK,SEA,"672, 671",2
ORD,ABE,"654, 655",2
ORD,AUS,"978, 977",2
ORD,BUF,"473, 474",2
ORD,CAE,"666, 667",2
ORD,CHO,"567, 566",2
ORD,CLE,"315, 316",2
ORD,CMX,"360, 359",2
ORD,CVG,"265, 264",2
ORD,CWA,"212, 213",2
ORD,EVV,"272, 273",2
ORD,IAD,"588, 589",2
ORD,MOB,"778, 779",2
ORD,PSP,"1651, 1652",2
ORD,SDF,"287, 286",2
PHX,DRO,"353, 351",2
PSP,ORD,"1651, 1652",2
SDF,ORD,"286, 287",2
SEA,OAK,"672, 671",2
SFO,FLL,"2584, 2583",2
STL,FLL,"1057, 1056",2
TYS,DFW,"771, 772",2
